Date, Open, High, Low, Close
08/19/20,6167.13,6167.13,6042.12,6042.12
08/18/20,6098.08,6156.45,6058.98,6156.45
08/17/20,6081.11,6081.11,6012.14,6068.78
08/14/20,6069.67,6076.91,6014.78,6076.91
08/13/20,6015.26,6097.78,6010.60,6097.78
08/12/20,5980.49,5995.00,5966.97,5995.00
08/11/20,5934.91,5984.35,5913.59,5953.94
08/10/20,5853.12,5930.92,5832.60,5930.92
08/07/20,5906.87,5906.87,5834.86,5846.02
08/06/20,5860.36,5902.58,5819.37,5902.58
08/05/20,5812.22,5888.85,5803.58,5833.58
08/04/20,5691.74,5802.49,5691.74,5775.50
08/03/20,5816.23,5816.23,5695.53,5715.92
07/30/20,5968.13,5968.13,5928.45,5928.45
07/29/20,5923.10,5966.27,5870.83,5966.27
07/28/20,5849.83,5939.60,5799.11,5927.11
07/27/20,5985.24,5985.24,5858.28,5860.94
07/24/20,6002.20,6024.65,5968.72,6003.26
07/23/20,6076.90,6076.90,5915.83,6029.01
07/22/20,6138.38,6149.20,6064.26,6064.26
07/21/20,6114.09,6152.06,6095.74,6136.31
07/20/20,6112.58,6150.70,6070.19,6150.70
07/17/20,6116.20,6141.23,6032.30,6088.75
07/16/20,6034.76,6147.66,6034.76,6147.66
07/15/20,6166.32,6166.32,6010.88,6016.51
07/14/20,6158.40,6178.68,6135.29,6172.81
07/13/20,6187.78,6187.78,6151.11,6172.57
07/10/20,6157.47,6197.38,6098.53,6197.38
07/09/20,6282.43,6282.43,6192.58,6192.58
07/08/20,6265.43,6287.74,6227.74,6285.50
07/07/20,6349.12,6349.61,6267.40,6267.40
07/06/20,6378.29,6381.06,6299.98,6328.41
07/03/20,6383.37,6398.79,6322.92,6372.66
07/02/20,6211.51,6382.60,6183.03,6364.08
07/01/20,6223.54,6223.54,6139.44,6209.71
06/30/20,6134.49,6207.72,6131.22,6207.72
06/29/20,6125.57,6125.57,6040.43,6105.18
06/26/20,6137.61,6191.84,6092.01,6191.84
06/25/20,6156.79,6162.22,6109.22,6118.26
06/24/20,6304.33,6306.21,6188.83,6188.83
06/23/20,6324.52,6324.52,6258.37,6297.78
06/22/20,6316.20,6347.43,6249.47,6347.43
06/19/20,6293.18,6375.03,6260.18,6315.07
06/18/20,6258.88,6348.45,6205.25,6348.45
06/17/20,6348.88,6352.90,6278.02,6282.01
06/16/20,6226.96,6316.23,6197.29,6281.75
06/15/20,6340.32,6340.32,6163.82,6163.82
06/11/20,6398.19,6476.24,6263.20,6476.24
06/10/20,6551.32,6551.32,6349.20,6439.37
06/09/20,6527.36,6583.84,6438.97,6583.84
06/08/20,6487.76,6551.26,6430.72,6514.00
06/05/20,6452.64,6465.13,6299.83,6465.13
06/04/20,6231.56,6517.49,6231.56,6517.49
06/03/20,6064.67,6245.65,6062.05,6245.65
06/02/20,5933.43,6043.09,5930.05,6025.17
06/01/20,5791.32,5931.65,5750.00,5930.17
05/29/20,5600.72,5838.84,5600.72,5838.84
05/28/20,5533.22,5574.22,5492.09,5570.22
05/27/20,5499.97,5523.78,5423.78,5523.78
05/26/20,5526.99,5533.65,5396.13,5496.83
05/22/20,5600.96,5600.96,5535.65,5539.19
05/21/20,5582.27,5613.90,5557.08,5604.49
05/20/20,5568.40,5581.96,5518.52,5581.96
05/19/20,5543.59,5571.40,5537.02,5555.85
05/18/20,5557.99,5557.99,5466.88,5479.35
05/15/20,5659.12,5664.25,5541.95,5541.95
05/14/20,5612.97,5654.70,5556.81,5654.70
05/13/20,5656.19,5661.18,5607.77,5626.25
05/12/20,5667.42,5668.36,5633.82,5651.67
05/11/20,5641.53,5681.68,5627.19,5667.93
05/08/20,5674.47,5696.31,5621.94,5621.94
05/07/20,5661.95,5670.34,5599.82,5653.16
05/06/20,5689.78,5702.58,5594.81,5639.27
05/05/20,5610.00,5703.96,5603.40,5671.67
05/04/20,5601.39,5601.39,5502.05,5572.09
04/30/20,5695.13,5716.88,5654.96,5700.71
04/29/20,5589.27,5656.01,5556.23,5643.97
04/28/20,5470.83,5574.98,5466.47,5574.98
04/27/20,5493.21,5493.21,5390.97,5450.45
04/24/20,5622.76,5622.76,5464.98,5464.98
04/23/20,5631.84,5672.08,5599.55,5599.55
04/22/20,5517.67,5577.91,5461.94,5573.75
04/21/20,5704.30,5704.30,5571.08,5592.25
04/20/20,5813.93,5816.90,5704.20,5733.65
04/17/20,5704.40,5789.97,5694.94,5789.97
04/16/20,5828.76,5828.76,5525.60,5525.60
04/15/20,5824.76,5946.05,5807.68,5946.05
04/14/20,5657.76,5780.88,5640.85,5780.88
04/13/20,5551.96,5610.98,5521.49,5610.98
04/08/20,5593.71,5593.71,5498.54,5510.83
04/07/20,5694.68,5713.63,5597.98,5650.01
04/06/20,5380.51,5570.81,5345.94,5570.81
04/03/20,5370.85,5372.70,5315.40,5346.97
04/02/20,5280.13,5342.31,5247.57,5342.31
04/01/20,5321.79,5408.52,5290.85,5408.52
03/31/20,5227.37,5340.09,5226.27,5321.23
03/30/20,5234.99,5234.99,4984.79,5131.16
03/27/20,5493.58,5641.94,5266.62,5266.62
03/26/20,5128.27,5401.58,5076.26,5401.58
03/25/20,5006.76,5073.58,4964.00,5027.76
03/24/20,4817.06,4864.86,4771.78,4774.27
03/23/2020,,,,4744.29
03/20/20,4761.89,4936.20,4677.66,4778.76
03/19/20,4673.58,4751.72,4039.15,4623.42
03/16/20,5506.96,5533.17,5335.37,5335.37
03/13/20,5793.94,5878.40,5097.90,5793.94
03/12/20,6235.85,6235.85,5697.13,5736.27
03/11/20,6384.28,6495.71,6336.68,6353.26
03/10/20,6165.82,6387.53,6103.75,6318.38
03/09/20,6575.54,6575.54,6312.61,6312.61
03/06/20,6871.14,6871.14,6745.32,6770.38
03/05/20,6899.02,6941.20,6872.97,6884.77
03/04/20,6791.14,6867.26,6710.18,6867.26
03/03/20,6854.90,6886.11,6790.54,6790.54
03/02/20,6759.37,6866.13,6700.75,6749.28
02/28/20,6858.91,6858.91,6769.97,6787.91
02/27/20,6890.02,6979.57,6890.02,6967.84
02/26/20,7101.88,7101.88,6879.09,6909.84
02/24/20,7267.86,7270.47,7180.10,7187.44
02/21/20,7430.57,7431.03,7366.80,7369.78
02/20/20,7426.91,7472.99,7413.00,7413.00
02/19/20,7319.99,7396.94,7319.99,7396.94
02/18/20,7329.03,7346.00,7311.50,7322.89
02/17/20,7305.66,7348.04,7292.95,7326.85
02/14/20,7405.15,7405.15,7282.00,7282.00
02/13/20,7390.01,7403.12,7332.91,7403.12
02/12/20,7435.25,7440.31,7383.10,7383.10
02/11/20,7444.66,7444.66,7403.23,7439.40
02/10/20,7510.84,7510.84,7414.01,7430.86
02/07/20,7447.33,7507.20,7429.61,7507.20
02/06/20,7373.59,7506.51,7373.59,7506.51
02/05/20,7291.44,7352.85,7281.42,7352.85
02/04/20,7172.41,7276.40,7158.20,7226.90
02/03/20,7206.22,7219.61,7129.19,7137.03
01/31/20,7413.17,7446.26,7200.79,7200.79
01/30/20,7466.45,7484.65,7392.68,7392.68
01/29/20,7472.53,7472.53,7423.69,7462.31
01/28/20,7563.12,7563.12,7468.70,7468.70
01/27/20,7616.90,7624.37,7580.67,7587.63
01/24/20,7622.12,7635.62,7581.12,7623.41
01/23/20,7503.64,7616.35,7495.60,7616.35
01/22/20,7469.14,7478.10,7425.86,7468.73
01/21/20,7570.20,7586.59,7442.13,7466.65
01/20/20,7727.45,7727.45,7513.95,7552.60
01/17/20,7691.87,7722.58,7648.94,7722.58
01/16/20,7674.48,7679.28,7614.73,7653.18
01/15/20,7784.14,7784.14,7664.40,7664.40
01/14/20,7761.59,7793.25,7684.28,7793.25
01/10/20,7794.90,7794.90,7729.05,7776.77
01/09/20,7736.63,7797.64,7736.63,7797.64
01/08/20,7762.48,7767.62,7721.29,7736.24
01/07/20,7787.32,7840.70,7781.21,7840.70
01/06/20,7802.86,7802.86,7697.89,7797.87
01/03/20,7737.70,7890.94,7737.70,7839.79
01/02/20,7721.26,7742.53,7643.98,7742.53
12/27/19,7848.39,7891.99,7815.26,7815.26
12/26/19,7794.53,7842.28,7772.97,7842.28
12/23/19,7745.96,7872.60,7745.26,7872.60
12/20/19,7643.99,7773.12,7469.41,7773.12
12/19/19,7751.21,7751.21,7617.75,7653.94
12/18/19,7751.29,7751.29,7682.94,7733.67
12/17/19,7708.07,7730.45,7631.08,7730.45
12/16/19,7882.76,7892.29,7701.60,7701.60
12/13/19,7818.40,7884.17,7804.98,7877.63
