Date, Open, High, Low, Close, Volume
10/05/20, 65.85, 66.25, 65.55, 65.95, 1081400
10/02/20, 65.70, 65.95, 65.20, 65.75, 583010
10/01/20, 64.50, 66.00, 64.25, 66.00, 755770
09/30/20, 64.75, 65.00, 64.00, 64.00, 1479160
09/29/20, 63.90, 65.00, 63.90, 65.00, 893750
09/28/20, 63.90, 64.70, 63.65, 64.00, 1355350
09/25/20, 64.00, 64.35, 63.50, 63.50, 2112810
09/24/20, 64.40, 65.00, 64.10, 64.10, 1778980
09/23/20, 64.40, 64.40, 64.00, 64.05, 1735950
09/22/20, 64.20, 64.45, 64.00, 64.40, 862840
09/21/20, 65.50, 65.60, 64.10, 64.20, 1742420
09/18/20, 65.45, 65.55, 64.20, 65.50, 2592470
09/17/20, 64.25, 65.55, 63.80, 65.55, 823620
09/16/20, 64.35, 65.00, 64.10, 64.20, 1436340
09/15/20, 64.50, 65.75, 64.25, 64.25, 645140
09/14/20, 65.50, 65.50, 64.55, 64.60, 1278450
09/11/20, 65.00, 65.30, 64.90, 64.90, 1602310
09/10/20, 65.15, 65.70, 65.00, 65.00, 4658090
09/09/20, 66.00, 66.00, 65.05, 65.25, 1606510
09/08/20, 65.80, 66.55, 65.55, 66.40, 1036950
09/07/20, 65.05, 65.90, 65.05, 65.80, 1044140
09/04/20, 67.35, 67.35, 65.00, 65.00, 1978600
09/03/20, 66.00, 67.60, 65.25, 67.60, 2027830
09/02/20, 67.30, 67.30, 65.50, 65.95, 840580
09/01/20, 66.95, 67.30, 65.55, 67.30, 2667940
08/28/20, 65.40, 67.00, 65.40, 67.00, 2366520
08/27/20, 63.00, 65.70, 63.00, 65.70, 2793950
08/26/20, 63.00, 63.60, 62.60, 63.00, 907770
08/25/20, 63.95, 63.95, 62.45, 63.00, 2285890
08/24/20, 63.50, 64.00, 62.30, 64.00, 1479170
08/20/20, 63.50, 63.85, 62.55, 63.50, 1785050
08/19/20, 65.80, 65.80, 62.50, 62.50, 2625430
08/18/20, 65.20, 65.95, 65.20, 65.70, 2551420
08/17/20, 65.50, 65.50, 64.20, 65.15, 837530
08/14/20, 65.00, 65.50, 64.25, 65.50, 2688520
08/13/20, 62.80, 65.25, 62.80, 64.85, 2949740
08/12/20, 61.20, 62.50, 61.20, 62.50, 2782780
08/11/20, 62.15, 63.45, 61.00, 61.00, 4843930
08/10/20, 62.70, 63.15, 62.00, 62.05, 3411440
08/07/20, 65.40, 65.70, 62.00, 62.55, 3395250
08/06/20, 65.60, 66.50, 64.05, 65.50, 5591900
08/05/20, 65.50, 66.50, 64.95, 65.50, 2970940
08/04/20, 64.75, 65.25, 64.30, 64.50, 2609650
08/03/20, 67.00, 67.00, 64.10, 64.70, 3359280
07/30/20, 68.50, 68.60, 68.00, 68.20, 3608190
07/29/20, 68.10, 69.00, 67.80, 69.00, 519740
07/28/20, 65.55, 68.20, 64.55, 68.20, 2224140
07/27/20, 69.45, 69.50, 65.00, 65.00, 2518430
07/24/20, 69.50, 70.60, 69.25, 69.50, 930410
07/23/20, 69.70, 70.45, 69.20, 69.45, 1712700
07/22/20, 70.70, 70.70, 69.60, 69.70, 2303390
07/21/20, 71.10, 72.00, 70.50, 70.70, 7828790
07/20/20, 70.45, 71.05, 70.20, 71.00, 846890
07/17/20, 71.00, 71.05, 69.80, 70.35, 918200
07/16/20, 70.00, 71.50, 69.50, 70.85, 1453470
07/15/20, 71.25, 71.45, 69.20, 70.00, 3250060
07/14/20, 73.50, 73.50, 71.00, 71.30, 1645970
07/13/20, 72.10, 74.50, 72.00, 74.50, 655910
07/10/20, 72.50, 73.95, 71.50, 73.20, 1571420
07/09/20, 74.40, 74.40, 72.05, 72.20, 710380
07/08/20, 72.00, 74.50, 71.65, 74.50, 2858010
07/07/20, 72.00, 72.45, 71.00, 72.00, 3300840
07/06/20, 73.40, 73.40, 71.55, 72.00, 2619370
07/03/20, 74.90, 74.95, 72.35, 73.40, 1719950
07/02/20, 71.50, 75.00, 70.60, 75.00, 3280840
07/01/20, 71.90, 71.90, 69.60, 71.50, 1232930
06/30/20, 69.95, 72.00, 69.20, 72.00, 5817950
06/29/20, 70.00, 70.10, 69.20, 69.50, 2302800
06/26/20, 71.90, 71.90, 70.50, 70.85, 1702000
06/25/20, 71.75, 71.80, 70.20, 70.55, 1075580
06/24/20, 72.50, 72.60, 71.15, 72.00, 1485230
06/23/20, 72.30, 72.95, 70.80, 72.50, 1165670
06/22/20, 72.30, 73.00, 70.50, 73.00, 2122150
06/19/20, 73.85, 73.85, 72.00, 72.60, 5261060
06/18/20, 73.00, 73.95, 70.95, 73.95, 599190
06/17/20, 72.60, 73.10, 72.40, 73.00, 1815190
06/16/20, 69.50, 72.45, 69.50, 71.00, 2355790
06/15/20, 72.00, 72.45, 68.10, 68.10, 3047970
06/11/20, 75.00, 75.00, 73.00, 73.50, 2260250
06/10/20, 76.95, 76.95, 74.20, 75.70, 2128330
06/09/20, 77.00, 77.40, 76.50, 77.30, 1536540
06/08/20, 78.00, 78.00, 75.05, 77.00, 5203970
06/05/20, 76.90, 78.80, 75.05, 78.00, 7629490
06/04/20, 69.80, 78.00, 69.80, 77.00, 9084770
